,geneProtein_label,therapy_label,disease_label,drug_label,NDCCode_label,combinationDrug_label,negGeProDr_label,firstLine,acceleratedApproval,acceleratedApprovalRate,metastatic
909,*,Pexidartinib Hydrochloride,Tenosynovial giant cell tumor,TURALIO- pexidartinib capsule,"65597-402-20, 65597-402-28",,,,,,
910,*,Sorafenib Tosylate,Hepatocellular carcinoma,"NEXAVAR- sorafenib tablet, film coated",50419-488-58,,,,,,Yes
911,*,Sorafenib Tosylate,Renal cell carcinoma,"NEXAVAR- sorafenib tablet, film coated",50419-488-58,,,,,,
912,*,Sorafenib Tosylate,Thyroid cancer,"NEXAVAR- sorafenib tablet, film coated",50419-488-58,,,,,,
913,*,Pazopanib Hydrochloride,Renal cell carcinoma,"VOTRIENT- pazopanib hydrochloride tablet, film coated",0078-0670-66,,,,,,
914,*,Pazopanib Hydrochloride,Soft tissue sarcoma,"VOTRIENT- pazopanib hydrochloride tablet, film coated",0078-0670-66,,,,,,
915,*,Temsirolimus,Renal cell carcinoma,TORISEL- temsirolimus kit,"0008-1125-01, 0008-1179-01, 0008-1279-01",,,,,,
916,*,Axitinib,Renal cell carcinoma,"INLYTA- axitinib tablet, film coated","0069-0145-01, 0069-0151-11",,,Yes,,,
917,*,Axitinib,Renal cell carcinoma,"INLYTA- axitinib tablet, film coated","0069-0145-01, 0069-0151-11",,,,,,
918,*,Cabozantinib-S-Malate,Hepatocellular carcinoma,CABOMETYX- cabozantinib tablet,"42388-023-26, 42388-023-36, 42388-023-37, 42388-024-26, 42388-024-37, 42388-025-26, 42388-025-37",,,,,,
919,*,Cabozantinib-S-Malate,Renal cell carcinoma,CABOMETYX- cabozantinib tablet,"42388-023-26, 42388-023-36, 42388-023-37, 42388-024-26, 42388-024-37, 42388-025-26, 42388-025-37",,,,,,
920,*,Cabozantinib-S-Malate,Renal cell carcinoma,CABOMETYX- cabozantinib tablet,"42388-023-26, 42388-023-36, 42388-023-37, 42388-024-26, 42388-024-37, 42388-025-26, 42388-025-37",nivolumab,,,,,
921,*,Cabozantinib-S-Malate,Medullary thyroid cancer,CABOMETYX- cabozantinib tablet,"42388-023-26, 42388-023-36, 42388-023-37, 42388-024-26, 42388-024-37, 42388-025-26, 42388-025-37",,,,,,
922,*,Cabozantinib-S-Malate,Hepatocellular carcinoma,COMETRIQ- cabozantinib kit,"42388-011-14, 42388-012-14, 42388-013-14",,,,,,
923,*,Cabozantinib-S-Malate,Renal cell carcinoma,COMETRIQ- cabozantinib kit,"42388-011-14, 42388-012-14, 42388-013-14",,,,,,
924,*,Cabozantinib-S-Malate,Medullary thyroid cancer,COMETRIQ- cabozantinib kit,"42388-011-14, 42388-012-14, 42388-013-14",,,,,,Yes
925,*,Tivozanib Hydrochloride,Renal cell carcinoma,FOTIVDA- tivozanib capsule,"45629-089-01, 45629-134-01",,,,,,
926,myeloid leukemia,Dasatinib,Acute lymphoblastic leukemia,SPRYCEL- dasatinib tablet,"0003-0524-11, 0003-0527-11, 0003-0528-11, 0003-0852-22, 0003-0855-22, 0003-0857-22",,,,,,
927,*,Dasatinib,Acute lymphoblastic leukemia,SPRYCEL- dasatinib tablet,"0003-0524-11, 0003-0527-11, 0003-0528-11, 0003-0852-22, 0003-0855-22, 0003-0857-22",,,,,,
928,CML,Dasatinib,Acute lymphoblastic leukemia,SPRYCEL- dasatinib tablet,"0003-0524-11, 0003-0527-11, 0003-0528-11, 0003-0852-22, 0003-0855-22, 0003-0857-22",,,,,,
929,"•
",Dasatinib,Acute lymphoblastic leukemia,SPRYCEL- dasatinib tablet,"0003-0524-11, 0003-0527-11, 0003-0528-11, 0003-0852-22, 0003-0855-22, 0003-0857-22",,,,,,
930,*,Dasatinib,Chronic myelogenous leukemia,SPRYCEL- dasatinib tablet,"0003-0524-11, 0003-0527-11, 0003-0528-11, 0003-0852-22, 0003-0855-22, 0003-0857-22",,,,,,
931,*,Nilotinib,Chronic myelogenous leukemia,TASIGNA- nilotinib capsule,"0078-0526-51, 0078-0526-87, 0078-0592-51, 0078-0592-87, 0078-0951-66",,,,,,
932,TKI,Nilotinib,Chronic myelogenous leukemia,TASIGNA- nilotinib capsule,"0078-0526-51, 0078-0526-87, 0078-0592-51, 0078-0592-87, 0078-0951-66",,,,,,
933,tyrosine-kinase inhibitor,Nilotinib,Chronic myelogenous leukemia,TASIGNA- nilotinib capsule,"0078-0526-51, 0078-0526-87, 0078-0592-51, 0078-0592-87, 0078-0951-66",,,,,,
934,*,Bosutinib,Chronic myelogenous leukemia,"BOSULIF- bosutinib monohydrate tablet, film coated","0069-0135-01, 0069-0136-01, 0069-0193-01",,,,,,
935,*,Rituximab,B-cell non-Hodgkin lymphoma,"RITUXAN- rituximab injection, solution","50242-051-10, 50242-051-21, 50242-053-06",,,,,,
936,*,Rituximab,Chronic lymphocytic leukemia,"RITUXAN- rituximab injection, solution","50242-051-10, 50242-051-21, 50242-053-06","cyclophosphamide, fludarabine",,,,,
937,B-CLL,Alemtuzumab,B-cell chronic lymphocytic leukemia,CAMPATH- alemtuzumab injection,"58468-0357-1, 58468-0357-3",,,,,,
938,*,Ofatumumab,Chronic lymphocytic leukemia,"ARZERRA- ofatumumab injection, solution","0078-0669-13, 0078-0669-61, 0078-0690-61","cyclophosphamide, fludarabine, chlorambucil",,,,,
939,*,Obinutuzumab,Follicular lymphoma,"GAZYVA- obinutuzumab injection, solution, concentrate","50242-070-01, 50242-070-86",bendamustine,,,,,
940,*,Obinutuzumab,Follicular lymphoma,"GAZYVA- obinutuzumab injection, solution, concentrate","50242-070-01, 50242-070-86",,,,,,
941,*,Obinutuzumab,Chronic lymphocytic leukemia,"GAZYVA- obinutuzumab injection, solution, concentrate","50242-070-01, 50242-070-86",chlorambucil,,,,,
942,*,Ibrutinib,Mantle cell lymphoma,IMBRUVICA- ibrutinib capsule,"57962-014-28, 57962-070-28, 57962-140-09, 57962-140-12, 57962-280-28, 57962-420-28, 57962-420-71, 57962-560-28, 57962-560-71",,,,Yes,Yes,
943,*,Ibrutinib,small lymphocytic lymphoma,IMBRUVICA- ibrutinib capsule,"57962-014-28, 57962-070-28, 57962-140-09, 57962-140-12, 57962-280-28, 57962-420-28, 57962-420-71, 57962-560-28, 57962-560-71",,,,Yes,Yes,
944,*,Ibrutinib,Marginal zone lymphoma,IMBRUVICA- ibrutinib capsule,"57962-014-28, 57962-070-28, 57962-140-09, 57962-140-12, 57962-280-28, 57962-420-28, 57962-420-71, 57962-560-28, 57962-560-71",,,,Yes,Yes,
945,*,Ibrutinib,Chronic lymphocytic leukemia,IMBRUVICA- ibrutinib capsule,"57962-014-28, 57962-070-28, 57962-140-09, 57962-140-12, 57962-280-28, 57962-420-28, 57962-420-71, 57962-560-28, 57962-560-71",,,,Yes,Yes,
946,*,Ibrutinib,Waldenström macroglobulinemia,IMBRUVICA- ibrutinib capsule,"57962-014-28, 57962-070-28, 57962-140-09, 57962-140-12, 57962-280-28, 57962-420-28, 57962-420-71, 57962-560-28, 57962-560-71",,,,,,
947,*,Idelalisib,Non-Hodgkin lymphoma,"ZYDELIG- idelalisib tablet, film coated","61958-1701-1, 61958-1702-1",,,,Yes,Yes,
948,*,Idelalisib,Non-Hodgkin lymphoma,"ZYDELIG- idelalisib tablet, film coated","61958-1701-1, 61958-1702-1","bendamustine, FL, rituximab",,,Yes,Yes,
949,*,Idelalisib,Chronic lymphocytic leukemia,"ZYDELIG- idelalisib tablet, film coated","61958-1701-1, 61958-1702-1",rituximab,,,,,
950,*,Idelalisib,Chronic lymphocytic leukemia,"ZYDELIG- idelalisib tablet, film coated","61958-1701-1, 61958-1702-1",,,,,,
951,*,Blinatumomab,B-cell acute lymphoblastic leukemia,BLINCYTO- blinatumomab kit,"55513-150-01, 55513-155-01, 55513-160-01",,,,,,
952,*,Venetoclax,Acute myeloid leukemia,VENCLEXTA- venetoclax kit,"0074-0561-11, 0074-0561-14, 0074-0566-07, 0074-0566-11, 0074-0576-11, 0074-0576-22, 0074-0576-34, 0074-0579-28","low-dose cytarabine, azacitidine, decitabine",,,,,
953,*,Venetoclax,Chronic lymphocytic leukemia,VENCLEXTA- venetoclax kit,"0074-0561-11, 0074-0561-14, 0074-0566-07, 0074-0566-11, 0074-0576-11, 0074-0576-22, 0074-0576-34, 0074-0579-28",,,,,,
954,*,Venetoclax,small lymphocytic lymphoma,VENCLEXTA- venetoclax kit,"0074-0561-11, 0074-0561-14, 0074-0566-07, 0074-0566-11, 0074-0576-11, 0074-0576-22, 0074-0576-34, 0074-0579-28",,,,,,
955,FLT3,Midostaurin,Aggressive systemic mastocytosis,"RYDAPT capsule, liquid filled","0078-0698-02, 0078-0698-19, 0078-0698-51, 0078-0698-99","daunorubicin, cytarabine",,,,,
956,*,Midostaurin,Aggressive systemic mastocytosis,"RYDAPT capsule, liquid filled","0078-0698-02, 0078-0698-19, 0078-0698-51, 0078-0698-99",,Use RYDAPT,,,,
957,SM-AHN,Midostaurin,Aggressive systemic mastocytosis,"RYDAPT capsule, liquid filled","0078-0698-02, 0078-0698-19, 0078-0698-51, 0078-0698-99",,,,,,
958,FLT3,Midostaurin,Acute myeloid leukemia,"RYDAPT capsule, liquid filled","0078-0698-02, 0078-0698-19, 0078-0698-51, 0078-0698-99","daunorubicin, cytarabine",,,,,
959,*,Midostaurin,Acute myeloid leukemia,"RYDAPT capsule, liquid filled","0078-0698-02, 0078-0698-19, 0078-0698-51, 0078-0698-99",,Use RYDAPT,,,,
960,*,Midostaurin,systemic mastocytosis with associated hematologic neoplasm,"RYDAPT capsule, liquid filled","0078-0698-02, 0078-0698-19, 0078-0698-51, 0078-0698-99",,,,,,
961,FLT3,Midostaurin,mast cell leukemia,"RYDAPT capsule, liquid filled","0078-0698-02, 0078-0698-19, 0078-0698-51, 0078-0698-99","daunorubicin, cytarabine",,,,,
962,*,Midostaurin,mast cell leukemia,"RYDAPT capsule, liquid filled","0078-0698-02, 0078-0698-19, 0078-0698-51, 0078-0698-99",,Use RYDAPT,,,,
963,SM-AHN,Midostaurin,mast cell leukemia,"RYDAPT capsule, liquid filled","0078-0698-02, 0078-0698-19, 0078-0698-51, 0078-0698-99",,,,,,
964,IDH2,Enasidenib Mesylate,Acute myeloid leukemia,"IDHIFA- enasidenib mesylate tablet, film coated","59572-705-30, 59572-710-30",,,,,,
965,isocitrate dehydrogenase-2,Enasidenib Mesylate,Acute myeloid leukemia,"IDHIFA- enasidenib mesylate tablet, film coated","59572-705-30, 59572-710-30",,,,,,
966,*,Inotuzumab Ozogamicin,B-cell acute lymphoblastic leukemia,"BESPONSA- inotuzumab ozogamicin injection, powder, lyophilized, for solution",0008-0100-01,,,,,,
967,*,Tisagenlecleucel,B-cell acute lymphoblastic leukemia,"KYMRIAH- tisagenlecleucel injection, suspension","0078-0846-19, 0078-0958-19",,,,,,
968,*,Tisagenlecleucel,B-cell non-Hodgkin lymphoma,"KYMRIAH- tisagenlecleucel injection, suspension","0078-0846-19, 0078-0958-19",,,,,,
969,*,Gemtuzumab Ozogamicin,,"MYLOTARG- gemtuzumab ozogamicin injection, powder, lyophilized, for solution",0008-4510-01,,,,,,
970,*,Rituximab and Hyaluronidase Human,Follicular lymphoma,"RITUXAN HYCELA- rituximab and hyaluronidase injection, solution","50242-108-01, 50242-108-86, 50242-109-01",,,,,,
971,CHOP,Rituximab and Hyaluronidase Human,Diffuse large B-cell lymphoma,"RITUXAN HYCELA- rituximab and hyaluronidase injection, solution","50242-108-01, 50242-108-86, 50242-109-01","prednisone, cyclophosphamide, CHOP, doxorubicin, vincristine",,,,,
972,*,Rituximab and Hyaluronidase Human,Chronic lymphocytic leukemia,"RITUXAN HYCELA- rituximab and hyaluronidase injection, solution","50242-108-01, 50242-108-86, 50242-109-01","cyclophosphamide, fludarabine",,,,,
973,susceptible isocitrate dehydrogenase-1,Ivosidenib,Acute myeloid leukemia,"TIBSOVO- ivosidenib tablet, film coated",71334-100-01,,,,,,
974,isocitrate dehydrogenase-1,Ivosidenib,Acute myeloid leukemia,"TIBSOVO- ivosidenib tablet, film coated",71334-100-01,,,,,,
975,IDH1,Ivosidenib,Acute myeloid leukemia,"TIBSOVO- ivosidenib tablet, film coated",71334-100-01,,,,,,
976,*,Duvelisib,Follicular lymphoma,COPIKTRA- duvelisib capsule,"71779-115-01, 71779-115-02, 71779-115-03, 71779-125-01, 71779-125-02, 71779-125-04",,,,Yes,Yes,
977,*,Duvelisib,Chronic lymphocytic leukemia,COPIKTRA- duvelisib capsule,"71779-115-01, 71779-115-02, 71779-115-03, 71779-125-01, 71779-125-02, 71779-125-04",,,,,,
978,*,Duvelisib,small lymphocytic lymphoma,COPIKTRA- duvelisib capsule,"71779-115-01, 71779-115-02, 71779-115-03, 71779-125-01, 71779-125-02, 71779-125-04",,,,,,
979,*,Moxetumomab Pasudotox-tdfk,Hairy cell leukemia,"LUMOXITI- moxetumomab pasudotox injection, powder, lyophilized, for solution","0310-4700-01, 0310-4715-11",,,,,,
980,*,Glasdegib Maleate,Acute myeloid leukemia,"DAURISMO- glasdegib tablet, film coated","0069-0298-60, 0069-1531-30",low-dose cytarabine,,,,,
981,FLT3,Gilteritinib Fumarate,Acute myeloid leukemia,XOSPATA- gilteritinib tablet,0469-1425-90,,,,,,
982,FMS-like tyrosine kinase 3,Gilteritinib Fumarate,Acute myeloid leukemia,XOSPATA- gilteritinib tablet,0469-1425-90,,,,,,
983,blastic plasmacytoid dendritic cell,Tagraxofusp-erzs,Blastic plasmacytoid dendritic cell neoplasm,"ELZONRIS- tagraxofusp injection, solution",72187-0401-1,,,,,,
984,*,Acalabrutinib,Mantle cell lymphoma,"CALQUENCE- acalabrutinib capsule, gelatin coated","0310-0512-28, 0310-0512-60, 0310-0512-95",,,,Yes,Yes,
985,*,Acalabrutinib,Chronic lymphocytic leukemia,"CALQUENCE- acalabrutinib capsule, gelatin coated","0310-0512-28, 0310-0512-60, 0310-0512-95",,,,Yes,Yes,
986,*,Acalabrutinib,small lymphocytic lymphoma,"CALQUENCE- acalabrutinib capsule, gelatin coated","0310-0512-28, 0310-0512-60, 0310-0512-95",,,,Yes,Yes,
987,FGFR2,Pemigatinib,Cholangiocarcinoma,PEMAZYRE- pemigatinib tablet,"50881-026-01, 50881-027-01, 50881-028-01",,,,Yes,Yes,Yes
988,fibroblast growth factor receptor 2 (FGFR2) fusion,Pemigatinib,Cholangiocarcinoma,PEMAZYRE- pemigatinib tablet,"50881-026-01, 50881-027-01, 50881-028-01",,,,Yes,Yes,Yes
989,*,Pemigatinib,Cholangiocarcinoma,PEMAZYRE- pemigatinib tablet,"50881-026-01, 50881-027-01, 50881-028-01",,,,Yes,Yes,
990,*,Crizotinib,Anaplastic large cell lymphoma,XALKORI- crizotinib capsule,"0069-8140-20, 0069-8141-20",,,,,,
991,ALK,Crizotinib,Non-small cell lung cancer,XALKORI- crizotinib capsule,"0069-8140-20, 0069-8141-20",,,,,,Yes
992,anaplastic lymphoma kinase,Crizotinib,Non-small cell lung cancer,XALKORI- crizotinib capsule,"0069-8140-20, 0069-8141-20",,,,,,Yes
993,*,Erlotinib Hydrochloride,Pancreatic cancer,TARCEVA- erlotinib hydrochloride tablet,"50242-062-01, 50242-063-01, 50242-064-01",gemcitabine,,Yes,,,Yes
994,epidermal growth factor receptor (EGFR) exon 19 deletions,Erlotinib Hydrochloride,Non-small cell lung cancer,TARCEVA- erlotinib hydrochloride tablet,"50242-062-01, 50242-063-01, 50242-064-01",,,,,,Yes
995,epidermal growth factor receptor,Erlotinib Hydrochloride,Non-small cell lung cancer,TARCEVA- erlotinib hydrochloride tablet,"50242-062-01, 50242-063-01, 50242-064-01",,,,,,Yes
996,EGFR,Erlotinib Hydrochloride,Non-small cell lung cancer,TARCEVA- erlotinib hydrochloride tablet,"50242-062-01, 50242-063-01, 50242-064-01",,,,,,Yes
997,L858R,Erlotinib Hydrochloride,Non-small cell lung cancer,TARCEVA- erlotinib hydrochloride tablet,"50242-062-01, 50242-063-01, 50242-064-01",,,,,,Yes
998,EGFR mutations,Erlotinib Hydrochloride,Non-small cell lung cancer,TARCEVA- erlotinib hydrochloride tablet,"50242-062-01, 50242-063-01, 50242-064-01",,"EGFR mutations, EGFR",,,,
999,EGFR,Erlotinib Hydrochloride,Non-small cell lung cancer,TARCEVA- erlotinib hydrochloride tablet,"50242-062-01, 50242-063-01, 50242-064-01",,"EGFR mutations, EGFR",,,,
1000,•,Erlotinib Hydrochloride,Non-small cell lung cancer,TARCEVA- erlotinib hydrochloride tablet,"50242-062-01, 50242-063-01, 50242-064-01",,,,,,
1001,*,Erlotinib Hydrochloride,Non-small cell lung cancer,TARCEVA- erlotinib hydrochloride tablet,"50242-062-01, 50242-063-01, 50242-064-01",gemcitabine,,,,,
1002,epidermal growth factor receptor (EGFR) exon 19 deletions,Gefitinib,Non-small cell lung cancer,"IRESSA- gefitinib tablet, coated","0310-0482-30, 0310-0482-93",,,Yes,,,Yes
1003,epidermal growth factor receptor,Gefitinib,Non-small cell lung cancer,"IRESSA- gefitinib tablet, coated","0310-0482-30, 0310-0482-93",,,Yes,,,Yes
1004,EGFR,Gefitinib,Non-small cell lung cancer,"IRESSA- gefitinib tablet, coated","0310-0482-30, 0310-0482-93",,,Yes,,,Yes
1005,L858R,Gefitinib,Non-small cell lung cancer,"IRESSA- gefitinib tablet, coated","0310-0482-30, 0310-0482-93",,,Yes,,,Yes
1006,EGFR mutations,Gefitinib,Non-small cell lung cancer,"IRESSA- gefitinib tablet, coated","0310-0482-30, 0310-0482-93",,"EGFR mutations, EGFR, L858R",,,,
1007,EGFR,Gefitinib,Non-small cell lung cancer,"IRESSA- gefitinib tablet, coated","0310-0482-30, 0310-0482-93",,"EGFR mutations, EGFR, L858R",,,,
1008,L858R,Gefitinib,Non-small cell lung cancer,"IRESSA- gefitinib tablet, coated","0310-0482-30, 0310-0482-93",,"EGFR mutations, EGFR, L858R",,,,
1009,growth factor receptor,Afatinib Dimaleate,Non-small cell lung cancer,"GILOTRIF- afatinib tablet, film coated","0597-0137-30, 0597-0137-90, 0597-0138-30, 0597-0138-95, 0597-0141-30",,,Yes,,,Yes
1010,epidermal growth factor receptor,Afatinib Dimaleate,Non-small cell lung cancer,"GILOTRIF- afatinib tablet, film coated","0597-0137-30, 0597-0137-90, 0597-0138-30, 0597-0138-95, 0597-0141-30",,,Yes,,,Yes
1011,EGFR,Afatinib Dimaleate,Non-small cell lung cancer,"GILOTRIF- afatinib tablet, film coated","0597-0137-30, 0597-0137-90, 0597-0138-30, 0597-0138-95, 0597-0141-30",,,Yes,,,Yes
1012,EGFR mutations,Afatinib Dimaleate,Non-small cell lung cancer,"GILOTRIF- afatinib tablet, film coated","0597-0137-30, 0597-0137-90, 0597-0138-30, 0597-0138-95, 0597-0141-30",,"EGFR mutations, EGFR",,,,
1013,EGFR,Afatinib Dimaleate,Non-small cell lung cancer,"GILOTRIF- afatinib tablet, film coated","0597-0137-30, 0597-0137-90, 0597-0138-30, 0597-0138-95, 0597-0141-30",,"EGFR mutations, EGFR",,,,
1014,*,Ceritinib,Non-small cell lung cancer,ZYKADIA- ceritinib capsule,"0078-0640-70, 0078-0694-48, 0078-0694-84",,,,,,Yes
1015,L858R mutations,Osimertinib Mesylate,Non-small cell lung cancer,"TAGRISSO- osimertinib tablet, film coated","0310-1349-30, 0310-1350-30, 0310-1350-95",,,,,,
1016,epidermal growth factor receptor,Osimertinib Mesylate,Non-small cell lung cancer,"TAGRISSO- osimertinib tablet, film coated","0310-1349-30, 0310-1350-30, 0310-1350-95",,,,,,
1017,EGFR,Osimertinib Mesylate,Non-small cell lung cancer,"TAGRISSO- osimertinib tablet, film coated","0310-1349-30, 0310-1350-30, 0310-1350-95",,,,,,
1018,epidermal growth factor receptor (EGFR) exon 19 deletions,Osimertinib Mesylate,Non-small cell lung cancer,"TAGRISSO- osimertinib tablet, film coated","0310-1349-30, 0310-1350-30, 0310-1350-95",,,,,,
1019,*,Necitumumab,Squamous non-small cell lung cancer,PORTRAZZA- necitumumab solution,0002-7716-01,"cisplatin, gemcitabine",,Yes,,,Yes
1020,*,Alectinib,Non-small cell lung cancer,ALECENSA- alectinib hydrochloride capsule,"50242-130-01, 50242-130-86",,,,,,Yes
1021,BRAF V600E,Trametinib Dimethyl Sulfoxide,Non-small cell lung cancer,"MEKINIST- trametinib tablet, film coated","0078-0666-15, 0078-0668-15",dabrafenib,,,,,
1022,BRAF,Trametinib Dimethyl Sulfoxide,Non-small cell lung cancer,"MEKINIST- trametinib tablet, film coated","0078-0666-15, 0078-0668-15",dabrafenib,,,,,Yes
1023,BRAF V600E,Trametinib Dimethyl Sulfoxide,Non-small cell lung cancer,"MEKINIST- trametinib tablet, film coated","0078-0666-15, 0078-0668-15",dabrafenib,,,,,Yes
1024,BRAF,Trametinib Dimethyl Sulfoxide,Non-small cell lung cancer,"MEKINIST- trametinib tablet, film coated","0078-0666-15, 0078-0668-15",dabrafenib,,,,,
1025,BRAF V600E,Trametinib Dimethyl Sulfoxide,Melanoma,"MEKINIST- trametinib tablet, film coated","0078-0666-15, 0078-0668-15",dabrafenib,,,,,Yes
1026,BRAF V600E,Trametinib Dimethyl Sulfoxide,Melanoma,"MEKINIST- trametinib tablet, film coated","0078-0666-15, 0078-0668-15",dabrafenib,,,,,
1027,BRAF,Trametinib Dimethyl Sulfoxide,Anaplastic thyroid cancer,"MEKINIST- trametinib tablet, film coated","0078-0666-15, 0078-0668-15",dabrafenib,,,,,Yes
1028,BRAF,Dabrafenib Mesylate,Non-small cell lung cancer,TAFINLAR- dabrafenib capsule,"0078-0681-66, 0078-0682-66",,,,,,
1029,V600E,Dabrafenib Mesylate,Non-small cell lung cancer,TAFINLAR- dabrafenib capsule,"0078-0681-66, 0078-0682-66",,,,,,
1030,BRAF V600E,Dabrafenib Mesylate,Non-small cell lung cancer,TAFINLAR- dabrafenib capsule,"0078-0681-66, 0078-0682-66",trametinib,,,,,
1031,BRAF,Dabrafenib Mesylate,Non-small cell lung cancer,TAFINLAR- dabrafenib capsule,"0078-0681-66, 0078-0682-66",trametinib,,,,,Yes
1032,BRAF V600E,Dabrafenib Mesylate,Non-small cell lung cancer,TAFINLAR- dabrafenib capsule,"0078-0681-66, 0078-0682-66",trametinib,,,,,Yes
1033,BRAF,Dabrafenib Mesylate,Non-small cell lung cancer,TAFINLAR- dabrafenib capsule,"0078-0681-66, 0078-0682-66",trametinib,,,,,
1034,BRAF,Dabrafenib Mesylate,Non-small cell lung cancer,TAFINLAR- dabrafenib capsule,"0078-0681-66, 0078-0682-66",,BRAF,,,,
1035,BRAF,Dabrafenib Mesylate,Melanoma,TAFINLAR- dabrafenib capsule,"0078-0681-66, 0078-0682-66",,,,,,Yes
1036,V600E,Dabrafenib Mesylate,Melanoma,TAFINLAR- dabrafenib capsule,"0078-0681-66, 0078-0682-66",,,,,,Yes
1037,BRAF V600E,Dabrafenib Mesylate,Melanoma,TAFINLAR- dabrafenib capsule,"0078-0681-66, 0078-0682-66",trametinib,,,,,Yes
1038,BRAF V600E,Dabrafenib Mesylate,Melanoma,TAFINLAR- dabrafenib capsule,"0078-0681-66, 0078-0682-66",trametinib,,,,,
1039,BRAF,Dabrafenib Mesylate,Anaplastic thyroid cancer,TAFINLAR- dabrafenib capsule,"0078-0681-66, 0078-0682-66",trametinib,,,,,Yes
1040,*,Durvalumab,Small cell lung cancer,"IMFINZI- durvalumab injection, solution","0310-4500-12, 0310-4611-50","cisplatin, carboplatin, etoposide",,Yes,,,
1041,*,Durvalumab,Non-small cell lung cancer,"IMFINZI- durvalumab injection, solution","0310-4500-12, 0310-4611-50",,,,,,
1042,L858R substitution mutations,Dacomitinib,Non-small cell lung cancer,"VIZIMPRO- dacomitinib tablet, film coated","0069-0197-30, 0069-1198-30, 0069-2299-30",,,Yes,,,Yes
1043,epidermal growth factor receptor (EGFR) exon 19 deletion,Dacomitinib,Non-small cell lung cancer,"VIZIMPRO- dacomitinib tablet, film coated","0069-0197-30, 0069-1198-30, 0069-2299-30",,,Yes,,,Yes
1044,epidermal growth factor receptor,Dacomitinib,Non-small cell lung cancer,"VIZIMPRO- dacomitinib tablet, film coated","0069-0197-30, 0069-1198-30, 0069-2299-30",,,Yes,,,Yes
1045,EGFR,Dacomitinib,Non-small cell lung cancer,"VIZIMPRO- dacomitinib tablet, film coated","0069-0197-30, 0069-1198-30, 0069-2299-30",,,Yes,,,Yes
1046,*,Lorlatinib,Non-small cell lung cancer,"LORBRENA- lorlatinib tablet, film coated","0069-0227-01, 0069-0231-01",,,,,,Yes
1047,*,Entrectinib,Solid tumors,ROZLYTREK- entrectinib capsule,"50242-091-30, 50242-091-86, 50242-094-47, 50242-094-90",,,,Yes,Yes,
1048,neurotrophic tyrosine receptor kinase (NTRK) gene,Entrectinib,Solid tumors,ROZLYTREK- entrectinib capsule,"50242-091-30, 50242-091-86, 50242-094-47, 50242-094-90",,,,Yes,Yes,
1049,neurotrophic tyrosine receptor kinase,Entrectinib,Solid tumors,ROZLYTREK- entrectinib capsule,"50242-091-30, 50242-091-86, 50242-094-47, 50242-094-90",,,,Yes,Yes,
1050,NTRK,Entrectinib,Solid tumors,ROZLYTREK- entrectinib capsule,"50242-091-30, 50242-091-86, 50242-094-47, 50242-094-90",,,,Yes,Yes,
1051,*,Entrectinib,Non-small cell lung cancer,ROZLYTREK- entrectinib capsule,"50242-091-30, 50242-091-86, 50242-094-47, 50242-094-90",,,,Yes,Yes,Yes
1052,neurotrophic tyrosine receptor kinase (NTRK) gene,Entrectinib,Non-small cell lung cancer,ROZLYTREK- entrectinib capsule,"50242-091-30, 50242-091-86, 50242-094-47, 50242-094-90",,,,Yes,Yes,
1053,neurotrophic tyrosine receptor kinase,Entrectinib,Non-small cell lung cancer,ROZLYTREK- entrectinib capsule,"50242-091-30, 50242-091-86, 50242-094-47, 50242-094-90",,,,Yes,Yes,
1054,NTRK,Entrectinib,Non-small cell lung cancer,ROZLYTREK- entrectinib capsule,"50242-091-30, 50242-091-86, 50242-094-47, 50242-094-90",,,,Yes,Yes,
1055,*,Entrectinib,Non-small cell lung cancer,ROZLYTREK- entrectinib capsule,"50242-091-30, 50242-091-86, 50242-094-47, 50242-094-90",,,,Yes,Yes,
1056,*,Capmatinib Hydrochloride,Non-small cell lung cancer,"TABRECTA- capmatinib tablet, film coated","0078-0709-56, 0078-0709-94, 0078-0716-56, 0078-0716-94",,,,Yes,Yes,Yes
1057,*,Capmatinib Hydrochloride,Non-small cell lung cancer,"TABRECTA- capmatinib tablet, film coated","0078-0709-56, 0078-0709-94, 0078-0716-56, 0078-0716-94",,,,Yes,Yes,
1058,*,Selpercatinib,Thyroid cancer,RETEVMO- selpercatinib capsule,"0002-2980-26, 0002-2980-60, 0002-3977-60",,,,Yes,Yes,
1059,*,Selpercatinib,Medullary thyroid cancer,RETEVMO- selpercatinib capsule,"0002-2980-26, 0002-2980-60, 0002-3977-60",,,,Yes,Yes,
1060,*,Selpercatinib,Non-small cell lung cancer,RETEVMO- selpercatinib capsule,"0002-2980-26, 0002-2980-60, 0002-3977-60",,,,Yes,Yes,
1061,RET,Pralsetinib,Thyroid cancer,GAVRETO- pralsetinib capsule,"72064-210-12, 72064-210-60, 72064-210-90",,,,Yes,Yes,
1062,*,Pralsetinib,Thyroid cancer,GAVRETO- pralsetinib capsule,"72064-210-12, 72064-210-60, 72064-210-90",,,,Yes,Yes,
1063,RET,Pralsetinib,Medullary thyroid cancer,GAVRETO- pralsetinib capsule,"72064-210-12, 72064-210-60, 72064-210-90",,,,Yes,Yes,
1064,*,Pralsetinib,Medullary thyroid cancer,GAVRETO- pralsetinib capsule,"72064-210-12, 72064-210-60, 72064-210-90",,,,Yes,Yes,
